"CUST_ID","CUST_FIRST_NAME","CUST_LAST_NAME","CUST_GENDER","CUST_YEAR_OF_BIRTH","CUST_MARITAL_STATUS","CUST_STREET_ADDRESS","CUST_POSTAL_CODE","CUST_CITY","CUST_CITY_ID","CUST_STATE_PROVINCE","CUST_STATE_PROVINCE_ID","COUNTRY_ID","CUST_MAIN_PHONE_NUMBER","CUST_INCOME_LEVEL","CUST_CREDIT_LIMIT","CUST_EMAIL","CUST_TOTAL","CUST_TOTAL_ID","CUST_SRC_ID","CUST_EFF_FROM","CUST_EFF_TO","CUST_VALID"
1449,"Abel","Embrey","M",1983,"married","37  McHenry Street","90285","Hyderabad",51673,"Andhra Pradesh",52547,52771,"131-469-9161","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
5004,"Abel","Embrey","M",1945,"","37 South Boyd Street","54930","Shah Alam",52307,"Selangor",52738,52769,"367-104-7648","B: 30,000 - 49,999",1500,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"A"
8559,"Abel","Embrey","M",1951,"single","47 West Pacific Road","68054","Krakow",51737,"Krakow",52638,52786,"305-101-2637","B: 30,000 - 49,999",3000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
12116,"Abel","Embrey","M",1942,"married","57 East Corson Drive","74903","Arnhem",51071,"Gelderland",52610,52770,"401-520-6150","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
15671,"Abel","Embrey","M",1984,"","57 South Sacramento Drive","31246","Tijnje",52368,"Friesland",52600,52770,"628-509-4754","B: 30,000 - 49,999",1500,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
19226,"Abel","Embrey","M",1955,"single","67 North Genesee Avenue","46981","Den Haag The Hague",51385,"Zuid-Holland",52771,52770,"339-233-1774","B: 30,000 - 49,999",3000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
48781,"Abel","Embrey","M",1982,"married","7 South Tioga Circle","51527","Altrincham",51061,"England - Greater Manchester",52590,52789,"300-509-2752","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
22781,"Abel","Embrey","M",1952,"married","77 East Tioga Avenue","44792","Edam",51441,"Noord-Holland",52683,52770,"575-667-3134","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
26337,"Abel","Embrey","M",1949,"","87  Juniata Avenue","53123","Alphen aan den Rijn",51059,"Zuid-Holland",52771,52770,"346-469-2772","B: 30,000 - 49,999",1500,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
29893,"Abel","Embrey","M",1969,"single","87 North Zapata Avenue","40125","Katowice",51720,"Katowice",52635,52786,"136-104-9447","B: 30,000 - 49,999",3000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
33448,"Abel","Embrey","M",1975,"married","97 West Mchenry Avenue","55857","Pune",52114,"Maharashtra",52660,52771,"611-101-8908","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
37893,"Abel","Vance","M",1965,"single","107 East Zapata Avenue","51291","Geleen",51577,"Limburg",52646,52770,"472-233-3035","B: 30,000 - 49,999",3000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
41448,"Abel","Vance","M",1960,"married","117 McHenry Avenue","32099","Clifden",51331,"Galway",52608,52772,"533-667-3664","B: 30,000 - 49,999",5000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
45003,"Abel","Vance","M",1966,"","117 South Boyd Avenue","44341","Redbridge",52160,"England - Greater London",52589,52789,"224-469-4640","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
7670,"Abel","Vance","M",1976,"","17 Sacramento Court","41616","Ruinen",52177,"Drenthe",52579,52770,"113-667-4744","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
43225,"Abel","Vance","M",1967,"single","17 South Genesee Court","38293","Zaandam",52527,"Noord-Holland",52683,52770,"213-469-2022","B: 30,000 - 49,999",3000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
48782,"Abel","Vance","M",1978,"married","27 West Tioga Boulevard","54930","Shah Alam",52307,"Selangor",52738,52769,"485-104-3780","B: 30,000 - 49,999",5000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
2338,"Abel","Vance","M",1972,"","37 East Juniata Street","42058","Niteroi",51984,"Rio de Janeiro",52713,52775,"193-101-9192","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
5893,"Abel","Vance","M",1989,"single","37 South Zapata Street","40576","Wageningen",52492,"Gelderland",52610,52770,"490-520-2691","B: 30,000 - 49,999",3000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
9448,"Abel","Vance","M",1958,"married","47 North McHenry Road","89484","Bristol",51219,"England - Avon",52588,52789,"123-509-2107","B: 30,000 - 49,999",5000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
13004,"Abel","Vance","M",1961,"","57 West Boyd Drive","34077","Schimmert",52297,"Limburg",52646,52770,"303-233-6427","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
16560,"Abel","Vance","M",1946,"single","67 Pacific Avenue","53574","Almere",51057,"Flevopolder",52599,52770,"562-667-8611","B: 30,000 - 49,999",3000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
20115,"Abel","Vance","M",1948,"married","67 South Corson Avenue","63488","Sydney",52334,"New South Wales",52680,52774,"296-469-9294","B: 30,000 - 49,999",5000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
23671,"Abel","Vance","M",1948,"","77 West Sacramento Avenue","72620","Enkhuizen",51452,"Noord-Holland",52683,52770,"655-104-6876","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
27226,"Abel","Vance","M",1944,"single","87 East Genesee Avenue","76836","Amersfoort",51062,"Utrecht",52750,52770,"482-101-8372","B: 30,000 - 49,999",3000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
30781,"Abel","Vance","M",1988,"married","87 South Tioga Avenue","37400","Yokohama",52526,"Kanagawa",52634,52782,"197-520-7884","B: 30,000 - 49,999",5000,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"A"
34338,"Abel","Vance","M",1963,"","97 North Juniata Avenue","69987","Blumenau",51201,"Santa Catarina",52734,52775,"447-509-8701","B: 30,000 - 49,999",1500,"Vance@company.example.com","Customer total",52772,,2019-01-01,,"I"
38782,"Abel","Walsh","M",1935,"married","107 West Tioga Avenue","41579","Enschede",51453,"Overijssel",52692,52770,"597-469-7628","B: 30,000 - 49,999",7000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
42337,"Abel","Walsh","M",1974,"","117 East Juniata Avenue","49682","Waddinxveen",52490,"Zuid-Holland",52771,52770,"582-104-6232","B: 30,000 - 49,999",1500,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
16559,"Abel","Walsh","M",1936,"single","17 East Pacific Court","39245","Brisbane",51218,"Queensland",52703,52774,"153-104-3047","B: 30,000 - 49,999",5000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
46115,"Abel","Walsh","M",1985,"married","27 Corson Boulevard","62356","Limerick",51797,"Limerick",52647,52772,"227-101-3184","B: 30,000 - 49,999",5000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
49670,"Abel","Walsh","M",1986,"","27 North Sacramento Boulevard","60332","Ede",51442,"Gelderland",52610,52770,"474-520-3415","B: 30,000 - 49,999",1500,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
3227,"Abel","Walsh","M",1941,"single","37 West Genesee Street","55406","Hoofddorp",51669,"Noord-Holland",52683,52770,"595-509-8558","B: 30,000 - 49,999",3000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"A"
6782,"Abel","Walsh","M",1962,"married","47 Tioga Road","34077","Schimmert",52297,"Limburg",52646,52770,"168-233-8162","B: 30,000 - 49,999",5000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
10337,"Abel","Walsh","M",1932,"","47 South Juniata Road","72996","Scheveningen",52296,"Zuid-Holland",52771,52770,"180-667-5648","B: 30,000 - 49,999",1500,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
13893,"Abel","Walsh","M",1952,"single","57 West Zapata Drive","67644","Joinville",51698,"Santa Catarina",52734,52775,"659-469-7856","B: 30,000 - 49,999",3000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
17448,"Abel","Walsh","M",1954,"married","67 East McHenry Avenue","83786","Nagoya",51971,"Aichi",52543,52782,"386-104-2423","B: 30,000 - 49,999",5000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"A"
21004,"Abel","Walsh","M",1934,"","77 Boyd Avenue","52773","Santos",52293,"Sao Paulo",52735,52775,"516-101-9098","B: 30,000 - 49,999",1500,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
24560,"Abel","Walsh","M",1939,"single","77 North Pacific Avenue","37400","Yokohama",52526,"Kanagawa",52634,52782,"678-520-3884","B: 30,000 - 49,999",5000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"A"
28115,"Abel","Walsh","M",1938,"married","87 West Corson Avenue","64410","Zoetermeer",52531,"Zuid-Holland",52771,52770,"128-509-9335","B: 30,000 - 49,999",7000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
31670,"Abel","Walsh","M",1968,"","97 Sacramento Avenue","80563","Diemen",51387,"Noord-Holland",52683,52770,"699-233-7349","B: 30,000 - 49,999",1500,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
35226,"Abel","Walsh","M",1987,"single","97 South Genesee Avenue","81402","Lelystad",51793,"Flevopolder",52599,52770,"684-667-4819","B: 30,000 - 49,999",3000,"Walsh@company.example.com","Customer total",52772,,2019-01-01,,"I"
37894,"Abigail","Grimes","M",1985,"","107 West 3rd Avenue","51291","Geleen",51577,"Limburg",52646,52770,"670-613-8694","G: 130,000 - 149,999",7000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
41449,"Abigail","Grimes","M",1978,"single","117 Mcintosh Avenue","32099","Clifden",51331,"Galway",52608,52772,"617-269-4886","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
45004,"Abigail","Grimes","M",1962,"married","117 South Bradford Avenue","44341","Redbridge",52160,"England - Greater London",52589,52789,"390-133-4233","G: 130,000 - 149,999",1500,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
7681,"Abigail","Grimes","M",1955,"married","17 Sagadahoc Court","72513","Manchester",51896,"England - Greater Manchester",52590,52789,"108-269-9166","G: 130,000 - 149,999",3000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"A"
43236,"Abigail","Grimes","M",1979,"","17 South Geneva Court","38293","Zaandam",52527,"Noord-Holland",52683,52770,"348-133-3197","G: 130,000 - 149,999",7000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
48783,"Abigail","Grimes","M",1995,"single","27 West Toa Alta Boulevard","54930","Shah Alam",52307,"Selangor",52738,52769,"561-207-9052","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
2339,"Abigail","Grimes","M",1955,"married","37 East Kanabec Street","42058","Niteroi",51984,"Rio de Janeiro",52713,52775,"583-379-6038","G: 130,000 - 149,999",3000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
5894,"Abigail","Grimes","M",1960,"","47 3rd Road","40576","Wageningen",52492,"Gelderland",52610,52770,"307-236-8072","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
9449,"Abigail","Grimes","M",1986,"single","47 North Mcintosh Road","89484","Bristol",51219,"England - Avon",52588,52789,"463-194-5387","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
13005,"Abigail","Grimes","M",1984,"married","57 West Bradford Drive","34077","Schimmert",52297,"Limburg",52646,52770,"233-613-2493","G: 130,000 - 149,999",1500,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
16561,"Abigail","Grimes","M",1954,"","67 Packard Avenue","53574","Almere",51057,"Flevopolder",52599,52770,"487-269-2253","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
20116,"Abigail","Grimes","M",1958,"single","67 South Coshocton Avenue","63488","Sydney",52334,"New South Wales",52680,52774,"298-133-8666","G: 130,000 - 149,999",11000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
23672,"Abigail","Grimes","M",1976,"married","77 West Sagadahoc Avenue","72620","Enkhuizen",51452,"Noord-Holland",52683,52770,"568-207-4643","G: 130,000 - 149,999",1500,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
27227,"Abigail","Grimes","M",1961,"","87 East Geneva Avenue","76836","Amersfoort",51062,"Utrecht",52750,52770,"132-379-3159","G: 130,000 - 149,999",7000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
30782,"Abigail","Grimes","M",1982,"single","87 South Toa Alta Avenue","37400","Yokohama",52526,"Kanagawa",52634,52782,"330-236-5302","G: 130,000 - 149,999",9000,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"A"
34339,"Abigail","Grimes","M",1964,"married","97 North Kanabec Avenue","69987","Blumenau",51201,"Santa Catarina",52734,52775,"624-194-9281","G: 130,000 - 149,999",1500,"Grimes@company.example.com","Customer total",52772,,2019-01-01,,"I"
37005,"Abigail","Husky","M",1958,"married","107 East Bradford Avenue","33529","Londrina",51804,"Parana",52698,52775,"608-236-4268","G: 130,000 - 149,999",3000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
40560,"Abigail","Husky","M",1973,"","107 South Packard Avenue","69987","Blumenau",51201,"Santa Catarina",52734,52775,"668-194-9928","G: 130,000 - 149,999",7000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
44115,"Abigail","Husky","M",1992,"single","117 North Coshocton Avenue","81052","Delft",51383,"Zuid-Holland",52771,52770,"380-613-8241","G: 130,000 - 149,999",9000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
34348,"Abigail","Husky","M",1965,"married","17 North Kanabec Court","76486","Buenos Aires",51223,"Buenos Aires",52566,52773,"109-613-9345","G: 130,000 - 149,999",1500,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
47894,"Abigail","Husky","M",1971,"","27 West 3rd Boulevard","78769","Wroclaw",52517,"Wroclaw",52767,52786,"101-269-7110","G: 130,000 - 149,999",7000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
1450,"Abigail","Husky","M",1956,"single","37 Mcintosh Street","90285","Hyderabad",51673,"Andhra Pradesh",52547,52771,"677-133-4062","G: 130,000 - 149,999",11000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
5005,"Abigail","Husky","M",1990,"married","37 South Bradford Street","54930","Shah Alam",52307,"Selangor",52738,52769,"265-207-5108","G: 130,000 - 149,999",1500,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"A"
8560,"Abigail","Husky","M",1991,"","47 West Packard Road","68054","Krakow",51737,"Krakow",52638,52786,"170-379-7858","G: 130,000 - 149,999",7000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
12117,"Abigail","Husky","M",1956,"single","57 East Coshocton Drive","69812","Merton",51911,"England - Greater London",52589,52789,"332-236-4447","G: 130,000 - 149,999",11000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
15672,"Abigail","Husky","M",1967,"married","57 South Sagadahoc Drive","31246","Tijnje",52368,"Friesland",52600,52770,"551-194-8835","G: 130,000 - 149,999",1500,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
19227,"Abigail","Husky","M",1952,"","67 North Geneva Avenue","46981","Den Haag The Hague",51385,"Zuid-Holland",52771,52770,"187-613-7403","G: 130,000 - 149,999",9000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
48792,"Abigail","Husky","M",1970,"single","7 South Toa Alta Circle","51527","Altrincham",51061,"England - Greater Manchester",52590,52789,"405-194-9055","G: 130,000 - 149,999",9000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
22782,"Abigail","Husky","M",1957,"single","77 East Toa Alta Avenue","85965","Amstelveen",51063,"Utrecht",52750,52770,"446-269-2415","G: 130,000 - 149,999",11000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
26338,"Abigail","Husky","M",1959,"married","87 Kanabec Avenue","80601","Sao Jose dos Campos",52294,"Sao Paulo",52735,52775,"122-133-8393","G: 130,000 - 149,999",3000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
29894,"Abigail","Husky","M",1954,"","87 South 3rd Avenue","40125","Katowice",51720,"Katowice",52635,52786,"383-207-2601","G: 130,000 - 149,999",9000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
33449,"Abigail","Husky","M",1959,"single","97 West Mcintosh Avenue","55857","Pune",52114,"Maharashtra",52660,52771,"400-379-3430","G: 130,000 - 149,999",11000,"Husky@company.example.com","Customer total",52772,,2019-01-01,,"I"
36116,"Abigail","Kessel","M",1959,"single","107 Coshocton Avenue","49682","Waddinxveen",52490,"Zuid-Holland",52771,52770,"609-207-9951","G: 130,000 - 149,999",11000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
39671,"Abigail","Kessel","M",1993,"married","107 North Sagadahoc Avenue","55857","Pune",52114,"Maharashtra",52660,52771,"574-379-2372","G: 130,000 - 149,999",1500,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
43227,"Abigail","Kessel","M",1968,"","117 West Geneva Avenue","59200","Diss",51390,"England - Norfolk",52591,52789,"338-236-6193","G: 130,000 - 149,999",7000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
25459,"Abigail","Kessel","M",1958,"single","17 West Mcintosh Court","91213","Secunderabad",52303,"Andhra Pradesh",52547,52771,"317-236-5172","G: 130,000 - 149,999",11000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
47005,"Abigail","Kessel","M",1962,"married","27 East Bradford Boulevard","51527","Altrincham",51061,"England - Greater Manchester",52590,52789,"481-194-2262","G: 130,000 - 149,999",1500,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
50560,"Abigail","Kessel","M",1981,"","27 South Packard Boulevard","37842","Stockport",52327,"England - Greater Manchester",52590,52789,"644-613-7359","G: 130,000 - 149,999",7000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
4116,"Abigail","Kessel","M",1972,"single","37 North Coshocton Street","78247","Velp",52438,"Gelderland",52610,52770,"189-269-2453","G: 130,000 - 149,999",9000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"A"
7672,"Abigail","Kessel","M",1983,"married","47 East Sagadahoc Road","90285","Hyderabad",51673,"Andhra Pradesh",52547,52771,"664-133-3881","G: 130,000 - 149,999",1500,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
11227,"Abigail","Kessel","M",1977,"","57 Geneva Drive","45142","Delhi",51384,"Delhi",52578,52771,"431-207-9962","G: 130,000 - 149,999",7000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
14783,"Abigail","Kessel","M",1994,"single","57 North Toa Alta Drive","68054","Krakow",51737,"Krakow",52638,52786,"504-379-9651","G: 130,000 - 149,999",9000,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
18338,"Abigail","Kessel","M",1963,"married","67 West Kanabec Avenue","38878","Hilversum",51662,"Noord-Holland",52683,52770,"350-236-9902","G: 130,000 - 149,999",1500,"Kessel@company.example.com","Customer total",52772,,2019-01-01,,"I"
49671,"Abigail","Ruddy","M",1987,"married","27 North Sagadahoc Boulevard","60332","Ede",51442,"Gelderland",52610,52770,"519-236-6123","G: 130,000 - 149,999",1500,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"I"
3228,"Abigail","Ruddy","M",1975,"","37 West Geneva Street","55406","Hoofddorp",51669,"Noord-Holland",52683,52770,"327-194-5008","G: 130,000 - 149,999",7000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"A"
6783,"Abigail","Ruddy","M",1953,"single","47 Toa Alta Road","34077","Schimmert",52297,"Limburg",52646,52770,"288-613-9676","G: 130,000 - 149,999",11000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"I"
10338,"Abigail","Ruddy","M",1988,"married","47 South Kanabec Road","72996","Scheveningen",52296,"Zuid-Holland",52771,52770,"222-269-1259","G: 130,000 - 149,999",1500,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"I"
13894,"Abigail","Ruddy","M",1960,"","57 North 3rd Drive","67644","Joinville",51698,"Santa Catarina",52734,52775,"675-133-2226","G: 130,000 - 149,999",9000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"I"
17449,"Abigail","Ruddy","M",1961,"single","67 East Mcintosh Avenue","83786","Nagoya",51971,"Aichi",52543,52782,"183-207-2933","G: 130,000 - 149,999",9000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"A"
21005,"Abigail","Ruddy","M",1957,"married","77 Bradford Avenue","52773","Santos",52293,"Sao Paulo",52735,52775,"129-379-7148","G: 130,000 - 149,999",3000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"I"
24561,"Abigail","Ruddy","M",1989,"","77 North Packard Avenue","37400","Yokohama",52526,"Kanagawa",52634,52782,"689-236-7611","G: 130,000 - 149,999",7000,"Ruddy@company.example.com","Customer total",52772,,2019-01-01,,"A"
